Username,Navigation_Path,Count
AA016962,Daily Sales -> Daily Sales -> Daily Sales -> Branch Operations -> Branch Summary -> Summary Dashboard -> Daily Sales -> Daily Units -> Daily Units Summary,13
AA016962,Daily Sales -> Daily Sales -> Daily Sales -> Branch Operations -> Branch Summary -> Summary Dashboard -> Daily Sales -> Daily Sales -> Daily Sales,12
AA016962,Branch Operations -> Branch Summary -> Summary Dashboard -> Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Tabular,12
AA020613,Sales vs Plan -> Sales vs Plan -> Sales vs Plan Dashboard -> Sales vs Plan -> Sales vs Plan -> Sales vs Plan Dashboard -> Sales vs Plan -> Sales vs Plan -> Sales vs Plan Dashboard,2
AA033321,Salesperson Performance -> Salesperson GP Rank -> Salesperson GP Rank -> Salesperson Performance -> Salesperson GP Rank -> Salesperson GP Rank -> Salesperson Performance -> Salesperson GP Rank -> Salesperson GP Rank,9
AA033321,Salesperson Performance -> Salesperson GP Rank -> Salesperson GP Rank -> Salesperson Performance -> Salesperson Performance -> Salesperson Performance -> Salesperson Performance -> Salesperson GP Rank -> Salesperson GP Rank,5
AA033321,Salesperson Performance -> Salesperson GP Rank -> Salesperson GP Rank -> Sales vs Plan -> Sales vs Plan -> Sales vs Plan Dashboard -> Salesperson Performance -> Salesperson GP Rank -> Salesperson GP Rank,5
AA033321,Sales vs Plan -> Sales vs Plan -> Sales vs Plan Dashboard -> Salesperson Performance -> Salesperson GP Rank -> Salesperson GP Rank -> Salesperson Performance -> Salesperson GP Rank -> Salesperson GP Rank,4
AA033321,Salesperson Performance -> Salesperson GP Rank -> Salesperson GP Rank -> Salesperson Performance -> Salesperson GP Rank -> Salesperson GP Rank -> Salesperson Performance -> Salesperson Performance -> Salesperson Performance,3
AA041293,Branch Operations -> Branch Summary -> Summary Dashboard -> Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Month End Sales,1
AA042597,Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales,40
AA063106,Sales vs Plan -> Sales vs Plan -> Sales vs Plan Dashboard -> Sales vs Plan -> Sales vs Plan -> Sales vs Plan Dashboard -> Sales vs Plan -> Sales vs Plan -> Sales vs Plan Dashboard,11
AA063106,Salesperson Performance -> Salesperson GP Rank -> Salesperson GP Rank -> Sales vs Plan -> Sales vs Plan -> Sales vs Plan Dashboard -> Sales vs Plan -> Sales vs Plan -> Sales vs Plan Dashboard,3
AA063106,Sales vs Plan -> Sales vs Plan -> Sales vs Plan Monthly Overview -> Sales vs Plan -> Sales vs Plan -> Sales vs Plan Dashboard -> Sales vs Plan -> Sales vs Plan -> Sales vs Plan Dashboard,2
AA063106,Sales vs Plan -> Sales vs Plan -> Sales vs Plan Dashboard -> Sales vs Plan -> Sales vs Plan -> Sales vs Plan Dashboard -> Salesperson Performance -> Salesperson GP Rank -> Salesperson GP Rank,2
AA063106,Sales vs Plan -> Sales vs Plan -> Sales vs Plan Dashboard -> Salesperson Performance -> Salesperson GP Rank -> Salesperson GP Rank -> Sales vs Plan -> Sales vs Plan -> Sales vs Plan Dashboard,2
AA074138,Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Tabular -> Daily Sales -> Daily Sales -> Daily Sales,31
AA074138,Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales,20
AA074138,Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Tabular,20
AA074138,Daily Sales -> Daily Sales -> Tabular -> Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Tabular,18
AA074138,Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Daily Units -> Daily Units Summary -> Branch Operations -> Branch Summary -> Summary Dashboard,15
AA086576,Inventory Management -> Inventory Finder -> Search By District -> Inventory Management -> Inventory Finder -> Search by Distance -> Inventory Management -> Inventory Finder -> Search by Distance,1
AA102325,Sales vs Plan -> Sales vs Plan -> Sales vs Plan Dashboard -> Sales vs Plan -> Sales vs Plan -> Sales vs Plan Dashboard -> Sales vs Plan -> Sales vs Plan -> Sales vs Plan Dashboard,135
AA202445,Sales vs Plan -> Sales vs Plan -> Sales vs Plan Dashboard -> Sales vs Plan -> Sales vs Plan -> Sales vs Plan Dashboard -> Sales vs Plan -> Sales vs Plan -> Sales vs Plan Dashboard,18
AA202445,Salesperson Performance -> Salesperson GP Rank -> Salesperson GP Rank -> Sales vs Plan -> Sales vs Plan -> Sales vs Plan Dashboard -> Sales vs Plan -> Sales vs Plan -> Sales vs Plan Dashboard,14
AA202445,Sales vs Plan -> Sales vs Plan -> Sales vs Plan Dashboard -> Sales vs Plan -> Sales vs Plan -> Sales vs Plan Dashboard -> Salesperson Performance -> Salesperson GP Rank -> Salesperson GP Rank,11
AA202445,Salesperson Performance -> Salesperson GP Rank -> Salesperson GP Rank -> Salesperson Performance -> Salesperson GP Rank -> Salesperson GP Rank -> Salesperson Performance -> Salesperson GP Rank -> Salesperson GP Rank,10
AA202445,Sales vs Plan -> Sales vs Plan -> Sales vs Plan Dashboard -> Salesperson Performance -> Salesperson GP Rank -> Salesperson GP Rank -> Sales vs Plan -> Sales vs Plan -> Sales vs Plan Dashboard,10
AB003470,Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Tabular -> Daily Sales -> Daily Sales -> Daily Sales,26
AB003470,Daily Sales -> Daily Sales -> Tabular -> Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Tabular,26
AB003470,Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Tabular -> Daily Sales -> Daily Sales -> Tabular,5
AB003470,Daily Sales -> Daily Sales -> Tabular -> Daily Sales -> Daily Sales -> Tabular -> Daily Sales -> Daily Sales -> Daily Sales,5
AB003470,Daily Sales -> Daily Sales -> Tabular -> Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales,4
AB004341,Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales,43
AB004341,Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Tabular -> Daily Sales -> Daily Sales -> Daily Sales,24
AB004341,Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Tabular,18
AB004341,Daily Sales -> Daily Sales -> Tabular -> Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Tabular,13
AB004341,Daily Sales -> Daily Sales -> Tabular -> Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales,12
AB012779,Fleet Optimization -> Fleet Performance Tool -> Fleet Opt Location Summary -> Fleet Optimization -> Fleet Performance Tool -> Fleet Opt Location Summary -> Fleet Optimization -> Fleet Performance Tool -> Fleet Opt Location Summary,9
AB012779,Branch Operations -> EXP Dashboard -> EXP Order Summary -> Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Tabular,1
AB012779,Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Tabular -> Daily Sales -> Daily Sales -> Month End Sales,1
AB012779,Daily Sales -> Daily Sales -> Tabular -> Daily Sales -> Daily Sales -> Month End Sales -> Fleet Optimization -> Fleet Performance Tool -> Fleet Opt Location Summary,1
AB012779,Daily Sales -> Daily Sales -> Month End Sales -> Fleet Optimization -> Fleet Performance Tool -> Fleet Opt Location Summary -> Fleet Optimization -> Fleet Performance Tool -> Fleet Opt Location Summary,1
AB017317,Daily Sales -> Daily Units -> Daily Units Summary -> Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Daily Units -> Daily Units Summary,5
AB017317,Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Daily Units -> Daily Units Summary -> Daily Sales -> Daily Sales -> Daily Sales,5
AB017317,Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Daily Units -> Daily Units Summary -> Daily Sales -> Daily Units -> Daily Units Summary,2
AB017317,Daily Sales -> Daily Units -> Daily Units Summary -> Daily Sales -> Daily Units -> Daily Units Summary -> Daily Sales -> Daily Sales -> Daily Sales,2
AB017317,Daily Sales -> Daily Units -> Daily Units Summary -> Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales,2
AB019835,Sales vs Plan -> Sales vs Plan -> Sales vs Plan Dashboard -> Sales vs Plan -> Sales vs Plan -> Sales vs Plan Dashboard -> Sales vs Plan -> Sales vs Plan -> Sales vs Plan Dashboard,22
AB019835,Salesperson Performance -> Salesperson GP Rank -> Salesperson GP Rank -> Sales vs Plan -> Sales vs Plan -> Sales vs Plan Dashboard -> Sales vs Plan -> Sales vs Plan -> Sales vs Plan Dashboard,7
AB019835,Sales vs Plan -> Sales vs Plan -> Sales vs Plan Dashboard -> Sales vs Plan -> Sales vs Plan -> Sales vs Plan Dashboard -> Salesperson Performance -> Salesperson GP Rank -> Salesperson GP Rank,6
AB019835,Sales vs Plan -> Sales vs Plan -> Sales vs Plan Dashboard -> Salesperson Performance -> Salesperson GP Rank -> Salesperson GP Rank -> Sales vs Plan -> Sales vs Plan -> Sales vs Plan Dashboard,5
AB019835,Salesperson Performance -> Salesperson GP Rank -> Salesperson GP Rank -> Salesperson Performance -> Salesperson GP Rank -> Salesperson GP Rank -> Sales vs Plan -> Sales vs Plan -> Sales vs Plan Dashboard,2
AB021055,Sales vs Plan -> Sales vs Plan -> Sales vs Plan Dashboard -> Branch Manager Customer 360 -> Branch Manager Customer 360 Dashboard -> Customer Selection -> Sales vs Plan -> Sales vs Plan -> Sales vs Plan Dashboard,21
AB021055,Sales vs Plan -> Sales vs Plan -> Sales vs Plan Dashboard -> Sales vs Plan -> Sales vs Plan -> Sales vs Plan Dashboard -> Sales vs Plan -> Sales vs Plan -> Sales vs Plan Dashboard,20
AB021055,Sales vs Plan -> Sales vs Plan -> Sales vs Plan Dashboard -> Sales vs Plan -> Sales vs Plan -> Sales vs Plan Dashboard -> Branch Manager Customer 360 -> Branch Manager Customer 360 Dashboard -> Customer Selection,18
AB021055,Sales vs Plan -> Sales vs Plan -> Sales vs Plan Dashboard -> Salesperson Performance -> Salesperson GP Rank -> Salesperson GP Rank -> Sales vs Plan -> Sales vs Plan -> Sales vs Plan Dashboard,18
AB021055,Branch Manager Customer 360 -> Branch Manager Customer 360 Dashboard -> Customer Selection -> Sales vs Plan -> Sales vs Plan -> Sales vs Plan Dashboard -> Sales vs Plan -> Sales vs Plan -> Sales vs Plan Dashboard,15
AB028011,Digital -> Digital Share -> Digital Share Summary -> Digital -> Digital Share -> Digital Share Summary -> Daily Sales -> Daily Sales -> Daily Sales,1
AB028011,Digital -> Digital Share -> Digital Share Summary -> Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Month End Sales,1
AB028011,Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Month End Sales -> Daily Sales -> Daily Sales -> Tabular,1
AB028011,Daily Sales -> Daily Sales -> Month End Sales -> Daily Sales -> Daily Sales -> Tabular -> Digital -> Digital Share -> Digital Share Summary,1
AB028914,Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Tabular -> Daily Sales -> Daily Sales -> Daily Sales,26
AB028914,Daily Sales -> Daily Sales -> Tabular -> Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Tabular,21
AB028914,Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Tabular -> Branch Operations -> Branch Summary -> Summary Dashboard,20
AB028914,Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Tabular,19
AB028914,Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales -> Daily Sales,18
AB032322,Inventory Management -> Inventory Finder -> Search By District -> Inventory Management -> Inventory Finder -> Search By District -> Inventory Management -> Inventory Finder -> Search By District,2
AB032322,Inventory Management -> Inventory Finder -> Search by Distance -> Inventory Management -> Inventory Finder Shortage Surplus -> Search by Distance -> Inventory Management -> Inventory Finder Shortage Surplus -> Search by Distance,2
AB032322,Inventory Management -> Inventory Finder Shortage Surplus -> Search by Distance -> Inventory Management -> Inventory Finder Shortage Surplus -> Search by Distance -> Inventory Management -> Inventory Finder Shortage Surplus -> Search by Distance,2
AB032322,Inventory Management -> Inventory Finder Shortage Surplus -> Search By District -> Inventory Management -> Inventory Finder Shortage Surplus -> Search By District -> Inventory Management -> Inventory Finder Shortage Surplus -> Search By District,2
AB032322,Inventory Management -> Inventory Finder -> Search by Distance -> Inventory Management -> Inventory Finder -> Search By District -> Inventory Management -> Inventory Finder -> Search By District,1
AB034276,Inventory Management -> Inventory Finder -> Search By District -> Inventory Management -> Inventory Finder -> Search By District -> Inventory Management -> Inventory Finder -> Search By District,4
AB041299,Branch Operations -> EXP Dashboard -> EXP Order Summary -> Fleet Optimization -> Fleet Budgeting Tool -> Fleet Opt Location Summary -> Safety and Compliance -> Driver Controlled Violation -> Violations Event,1
AB041299,Fleet Optimization -> Fleet Budgeting Tool -> Fleet Opt Location Summary -> Safety and Compliance -> Driver Controlled Violation -> Violations Event -> Digital -> Digital Share -> Digital Share Summary,1
AB041299,Safety and Compliance -> Driver Controlled Violation -> Violations Event -> Digital -> Digital Share -> Digital Share Summary -> Branch Operations -> EXP Dashboard -> EXP Order Summary,1
AB041299,Digital -> Digital Share -> Digital Share Summary -> Branch Operations -> EXP Dashboard -> EXP Order Summary -> Fleet CSA -> Fleet CSA - Enterprise -> CSA Summary,1
AB052785,Inventory Management -> Inventory Finder -> Search By District -> Inventory Management -> Inventory Finder -> Search By District -> Inventory Management -> Inventory Finder -> Search By District,2
AB053477,Salesperson Performance -> Salesperson GP Rank -> Salesperson GP Rank -> Salesperson Performance -> Salesperson GP Rank -> Salesperson GP Rank -> Salesperson Performance -> Salesperson GP Rank -> Salesperson GP Rank,5
AB053477,Salesperson Performance -> Salesperson Performance -> Salesperson Performance -> Salesperson Performance -> Salesperson Performance -> Salesperson Performance -> Salesperson Performance -> Salesperson Performance -> Salesperson Performance,4
AB053477,Customer 360 Dashboard Light Dashboard -> Customer 360 Light -> Customer Summary -> Customer 360 Dashboard Light Dashboard -> Customer 360 Light -> Customer Summary -> Salesperson Performance -> Salesperson Performance -> Salesperson Performance,2
AB053477,Salesperson Performance -> Salesperson Performance -> Salesperson Performance -> Salesperson Performance -> Salesperson Current Book of Business -> Salesperson Book of Business -> Salesperson Performance -> Salesperson Current Book of Business -> Salesperson Book of Business,2
AB053477,Salesperson Performance -> Salesperson Performance -> Salesperson Performance -> Salesperson Performance -> Salesperson GP Rank -> Salesperson GP Rank -> Customer 360 Dashboard Light Dashboard -> Customer 360 Light -> Customer Summary,2
AB057072,Sales vs Plan -> Sales vs Plan -> Sales vs Plan Dashboard -> Sales vs Plan -> Sales vs Plan -> Sales vs Plan Dashboard -> Sales vs Plan -> Sales vs Plan -> Sales vs Plan Dashboard,119
AB057072,Sales vs Plan -> Sales vs Plan -> Sales vs Plan Dashboard -> Sales vs Plan -> Sales vs Plan -> Sales vs Plan Monthly Overview -> Sales vs Plan -> Sales vs Plan -> Sales vs Plan Dashboard,23
AB057072,Sales vs Plan -> Sales vs Plan -> Sales vs Plan Dashboard -> Salesperson Performance -> Salesperson GP Rank -> Salesperson GP Rank -> Sales vs Plan -> Sales vs Plan -> Sales vs Plan Dashboard,21
AB057072,Sales vs Plan -> Sales vs Plan -> Sales vs Plan Monthly Overview -> Sales vs Plan -> Sales vs Plan -> Sales vs Plan Dashboard -> Sales vs Plan -> Sales vs Plan -> Sales vs Plan Dashboard,20
AB057072,Salesperson Performance -> Salesperson GP Rank -> Salesperson GP Rank -> Sales vs Plan -> Sales vs Plan -> Sales vs Plan Dashboard -> Sales vs Plan -> Sales vs Plan -> Sales vs Plan Dashboard,19
AB061732,Inventory Management -> Inventory Finder -> Search By District -> Inventory Management -> Inventory Finder Shortage Surplus -> Summary -> Inventory Management -> Inventory Finder -> Search By District,1
AB062094,Sales vs Plan -> Sales vs Plan -> Sales vs Plan Dashboard -> Sales vs Plan -> Sales vs Plan -> Sales vs Plan Dashboard -> Sales vs Plan -> Sales vs Plan -> Sales vs Plan Monthly Overview,3
AB062094,Sales vs Plan -> Sales vs Plan -> Sales vs Plan Dashboard -> Sales vs Plan -> Sales vs Plan -> Sales vs Plan Monthly Overview -> Sales vs Plan -> Sales vs Plan -> Sales vs Plan Dashboard,3
AB062094,Sales vs Plan -> Sales vs Plan -> Sales vs Plan Dashboard -> Sales vs Plan -> Sales vs Plan -> Sales vs Plan Dashboard -> Sales vs Plan -> Sales vs Plan -> Sales vs Plan Dashboard,2
AB062094,Sales vs Plan -> Sales vs Plan -> Sales vs Plan Monthly Overview -> Sales vs Plan -> Sales vs Plan -> Sales vs Plan Dashboard -> Sales vs Plan -> Sales vs Plan -> Sales vs Plan Dashboard,2
AB062094,Branch Manager Customer 360 -> Customer Sales Report -> Customer Report -> Branch Manager Customer 360 -> Customer Sales Report -> Customer Report -> Branch Manager Customer 360 -> Customer Sales Report -> Customer Report,2
AB063570,Salesperson Performance -> Salesperson GP Rank -> Salesperson GP Rank -> Salesperson Performance -> Salesperson GP Rank -> Salesperson GP Rank -> Salesperson Performance -> Salesperson GP Rank -> Salesperson GP Rank,7
AB063570,Salesperson Performance -> Salesperson GP Rank -> Salesperson GP Rank -> Salesperson Performance -> Salesperson GP Rank -> Salesperson GP Rank -> Inventory Management -> Inventory Finder Shortage Surplus -> Summary,1
AB063570,Salesperson Performance -> Salesperson GP Rank -> Salesperson GP Rank -> Inventory Management -> Inventory Finder Shortage Surplus -> Summary -> Inventory Management -> Inventory Finder -> Search By District,1
AB063570,Inventory Management -> Inventory Finder Shortage Surplus -> Summary -> Inventory Management -> Inventory Finder -> Search By District -> Inventory Management -> Historical Inventory -> Historical Inventory,1
AB063570,Inventory Management -> Inventory Finder -> Search By District -> Inventory Management -> Historical Inventory -> Historical Inventory -> Inventory Management -> Inventory Finder -> Search By District,1
AB065100,Sales vs Plan -> Sales vs Plan -> Sales vs Plan Dashboard -> Sales vs Plan -> Sales vs Plan -> Sales vs Plan Dashboard -> Sales vs Plan -> Sales vs Plan -> Sales vs Plan Dashboard,6
AB065100,Sales vs Plan -> Sales vs Plan -> Sales vs Plan Dashboard -> Salesperson Performance -> Salesperson Performance -> Salesperson Performance -> Sales vs Plan -> Sales vs Plan -> Sales vs Plan Dashboard,1
AB065100,Salesperson Performance -> Salesperson Performance -> Salesperson Performance -> Sales vs Plan -> Sales vs Plan -> Sales vs Plan Dashboard -> Sales vs Plan -> Sales vs Plan -> Sales vs Plan Dashboard,1
AB071031,Inventory Levels -> Inventory Levels -> Inventory Levels -> Inventory Levels -> Inventory Levels -> Branch Inventory Details -> Inventory Management -> Inventory Finder -> Search By District,1
AB071031,Inventory Levels -> Inventory Levels -> Branch Inventory Details -> Inventory Management -> Inventory Finder -> Search By District -> Inventory Management -> Inventory Finder -> Search by Distance,1
AB073990,Inventory Management -> Inventory Finder -> Search By District -> Inventory Management -> Inventory Finder -> Search By District -> Inventory Management -> Inventory Finder -> Search By District,5
AB077232,Inventory Management -> Inventory Finder -> Search By District -> Inventory Management -> Inventory Finder -> Search By District -> Inventory Management -> Inventory Finder -> Search By District,4
AB077232,Inventory Management -> Inventory Finder -> Search By District -> Inventory Management -> Inventory Finder -> Search By District -> Inventory Levels -> Inventory Levels -> Inventory Levels,1
AB077232,Inventory Management -> Inventory Finder -> Search By District -> Inventory Levels -> Inventory Levels -> Inventory Levels -> Inventory Management -> Inventory Finder -> Search By District,1
AB077232,Inventory Levels -> Inventory Levels -> Inventory Levels -> Inventory Management -> Inventory Finder -> Search By District -> Inventory Management -> Inventory Finder -> Search By District,1
AB077232,Inventory Management -> Inventory Finder -> Search By District -> Inventory Management -> Inventory Finder -> Search By District -> Inventory Management -> Inventory Finder -> Search by Distance,1
AB093847,Inventory Management -> Inventory Finder -> Search By District -> Inventory Management -> Inventory Finder -> Search By District -> Inventory Management -> Inventory Finder -> Search By District,3
AB093847,Inventory Management -> Inventory Finder -> Search By District -> Inventory Management -> Inventory Finder -> Search By District -> Salesperson Performance -> Salesperson GP Rank -> Salesperson GP Rank,2
AB093847,Inventory Management -> Inventory Finder Shortage Surplus -> Summary -> Inventory Management -> Inventory Finder Shortage Surplus -> Search By District -> Inventory Management -> Inventory Finder -> Search By District,1
AB093847,Inventory Management -> Inventory Finder Shortage Surplus -> Search By District -> Inventory Management -> Inventory Finder -> Search By District -> Inventory Management -> Inventory Finder -> Search By District,1
AB093847,Inventory Management -> Inventory Finder -> Search By District -> Salesperson Performance -> Salesperson GP Rank -> Salesperson GP Rank -> Inventory Management -> Inventory Finder -> Search By District,1
AB101966,Salesperson Performance -> Salesperson Current Book of Business -> Salesperson Book of Business -> Salesperson Performance -> Salesperson Current Book of Business -> Salesperson Book of Business -> Salesperson Performance -> Salesperson Current Book of Business -> Salesperson Book of Business,4
AB101966,Salesperson Performance -> Salesperson Current Book of Business -> Salesperson Book of Business -> Salesperson Performance -> Salesperson Current Book of Business -> Salesperson Book of Business -> Salesperson Performance -> Salesperson GP Rank -> Salesperson GP Rank,2
AB101966,Salesperson Performance -> Salesperson Current Book of Business -> Salesperson Book of Business -> Salesperson Performance -> Salesperson GP Rank -> Salesperson GP Rank -> Salesperson Performance -> Salesperson GP Rank -> Salesperson GP Rank,1
AB101966,Salesperson Performance -> Salesperson GP Rank -> Salesperson GP Rank -> Salesperson Performance -> Salesperson GP Rank -> Salesperson GP Rank -> Salesperson Performance -> Salesperson Current Book of Business -> Salesperson Book of Business,1
AB101966,Salesperson Performance -> Salesperson GP Rank -> Salesperson GP Rank -> Salesperson Performance -> Salesperson Current Book of Business -> Salesperson Book of Business -> Salesperson Performance -> Salesperson Current Book of Business -> Salesperson Book of Business,1
AB102881,Inventory Management -> Inventory Finder -> Search By District -> Sales vs Plan -> Sales vs Plan -> Sales vs Plan Monthly Overview -> Sales vs Plan -> Sales vs Plan -> Sales vs Plan Dashboard,1
AB102881,Sales vs Plan -> Sales vs Plan -> Sales vs Plan Monthly Overview -> Sales vs Plan -> Sales vs Plan -> Sales vs Plan Dashboard -> Sales vs Plan -> Sales vs Plan -> Sales vs Plan Dashboard,1
AB102881,Sales vs Plan -> Sales vs Plan -> Sales vs Plan Dashboard -> Sales vs Plan -> Sales vs Plan -> Sales vs Plan Dashboard -> Inventory Management -> Inventory Finder -> Search By District,1
AB202388,Inventory Management -> Inventory Finder -> Search By District -> Inventory Management -> Inventory Finder -> Search By District -> Inventory Management -> Inventory Finder -> Search By District,1
AB202388,Inventory Management -> Inventory Finder -> Search By District -> Inventory Management -> Inventory Finder -> Search By District -> Inventory Levels -> Inventory Levels -> Inventory Levels,1
AB202388,Inventory Management -> Inventory Finder -> Search By District -> Inventory Levels -> Inventory Levels -> Inventory Levels -> Inventory Levels -> Inventory Levels -> Branch Inventory Details,1
AB202388,Inventory Levels -> Inventory Levels -> Inventory Levels -> Inventory Levels -> Inventory Levels -> Branch Inventory Details -> Inventory Management -> Inventory Finder -> Search By District,1
AB202388,Inventory Levels -> Inventory Levels -> Branch Inventory Details -> Inventory Management -> Inventory Finder -> Search By District -> Inventory Management -> Inventory Finder -> Search by Distance,1
AC002277,Fleet eDelivery ODC -> Fleet eDelivery ODC - Enterprise -> Branch Compliance Breakdown   -> Fleet eDelivery ODC -> Fleet eDelivery ODC - Enterprise -> Branch Compliance Breakdown   -> Fleet eDelivery ODC -> Fleet eDelivery ODC - Enterprise -> Branch Compliance Breakdown  ,116
AC002277,Branch Operations -> EXP Dashboard -> EXP Order Summary -> Branch Operations -> EXP Dashboard -> EXP Order Summary -> Branch Operations -> EXP Dashboard -> EXP Order Summary,8
AC002277,Fleet eDelivery ODC -> Fleet eDelivery ODC - Enterprise -> Order Detail Tabular -> Fleet eDelivery ODC -> Fleet eDelivery ODC - Enterprise -> Branch Compliance Breakdown   -> Fleet eDelivery ODC -> Fleet eDelivery ODC - Enterprise -> Branch Compliance Breakdown  ,6
AC002277,Fleet CSA -> Fleet CSA - Enterprise -> CSA Summary -> Fleet CSA -> Fleet CSA - Enterprise -> CSA Summary -> Fleet CSA -> Fleet CSA - Enterprise -> CSA Summary,6
AC002277,Fleet eDelivery ODC -> Fleet eDelivery ODC - Enterprise -> Branch Compliance Breakdown   -> Fleet eDelivery ODC -> Fleet eDelivery ODC - Enterprise -> eDelivery ODC Summary -> Fleet eDelivery ODC -> Fleet eDelivery ODC - Enterprise -> Branch Compliance Breakdown  ,4
AC003985,Inventory Management -> Inventory Finder -> Search By District -> Inventory Management -> Inventory Finder -> Search By District -> Inventory Management -> Inventory Finder -> Search by Distance,1
AC003985,Inventory Management -> Inventory Finder -> Search By District -> Inventory Management -> Inventory Finder -> Search by Distance -> Inventory Management -> Inventory Finder -> Search By District,1
AC003985,Inventory Management -> Inventory Finder -> Search by Distance -> Inventory Management -> Inventory Finder -> Search By District -> Inventory Management -> Inventory Finder -> Search By District,1
